Date,Month Number,Month Name,Year,Price,Open,High,Low,Change % Price at T and T+1
2023-01-11,11,November,2023,"4,087.45","4,114.50","4,130.65","3,939.51",-0.68%
2023-01-10,10,October,2023,"4,115.50","4,070.75","4,432.42","4,034.65",0.99%
2023-01-09,9,September,2023,"4,075.00","4,092.11","4,129.64","3,867.48",-0.31%
2023-01-08,8,August,2023,"4,087.55","3,924.53","4,172.25","3,920.15",4.29%
2023-01-07,7,July,2023,"3,919.50","4,161.00","4,237.28","3,870.09",-6.06%
2023-01-06,6,June,2023,"4,172.50","4,452.80","4,454.00","4,080.70",-6.20%
2023-01-05,5,May,2023,"4,448.50","4,695.25","4,732.63","4,372.80",-5.26%
2023-01-04,4,April,2023,"4,695.50","4,662.62","4,718.03","4,393.75",0.95%
2023-01-03,3,March,2023,"4,651.50","4,859.90","4,898.50","4,570.85",-4.22%
2023-01-02,2,February,2023,"4,856.68","4,668.51","4,998.49","4,542.58",4.05%
2023-01-01,1,January,2023,"4,667.72","4,848.00","5,008.88","4,489.54",-3.70%
2022-01-12,12,December,2022,"4,847.00","4,830.57","4,861.00","4,727.21",0.41%
2022-01-11,11,November,2022,"4,827.00","4,936.60","5,123.13","4,767.21",-2.08%
2022-01-10,10,October,2022,"4,929.35","4,610.00","5,003.58","4,462.04",7.06%
2022-01-09,9,September,2022,"4,604.13","4,429.00","4,616.25","4,322.23",4.10%
2022-01-08,8,August,2022,"4,423.00","4,287.00","4,447.29","4,154.44",3.40%
2022-01-07,7,July,2022,"4,277.60","4,151.37","4,665.21","4,151.37",3.27%
2022-01-06,6,June,2022,"4,141.97","3,770.00","4,179.80","3,754.70",10.14%
2022-01-05,5,May,2022,"3,760.60","3,958.00","4,133.00","3,763.45",-4.82%
2022-01-04,4,April,2022,"3,950.95","3,773.00","3,999.75","3,690.00",4.86%
2022-01-03,3,March,2022,"3,767.82","3,937.00","3,947.00","3,727.80",-4.20%
2022-01-02,2,February,2022,"3,933.01","3,947.78","3,983.00","3,894.21",-0.21%
2022-01-01,1,January,2022,"3,941.41","4,070.00","4,105.50","3,923.61",-3.05%
2021-01-12,12,December,2021,"4,065.41","3,995.00","4,075.74","3,875.80",1.83%
2021-01-11,11,November,2021,"3,992.20","3,760.00","4,040.00","3,757.03",6.25%
2021-01-10,10,October,2021,"3,757.53","3,807.80","3,807.80","3,713.50",-1.26%
2021-01-09,9,September,2021,"3,805.33","3,769.15","3,868.19","3,738.90",1.03%
2021-01-08,8,August,2021,"3,766.68","3,878.00","4,009.14","3,761.50",-2.77%
2021-01-07,7,July,2021,"3,874.00","3,750.00","3,939.70","3,725.80",3.39%
2021-01-06,6,June,2021,"3,747.00","3,708.00","3,798.00","3,573.00",1.11%
2021-01-05,5,May,2021,"3,705.75","3,753.30","3,866.75","3,643.35",-1.22%
2021-01-04,4,April,2021,"3,751.43","3,661.70","3,759.05","3,587.55",2.53%
2021-01-03,3,March,2021,"3,658.95","3,647.00","3,755.00","3,515.68",0.40%
2021-01-02,2,February,2021,"3,644.50","3,569.00","3,651.95","3,481.90",2.15%
2021-01-01,1,January,2021,"3,567.63","3,422.00","3,665.91","3,379.71",4.48%
2020-01-12,12,December,2020,"3,414.50","3,596.25","3,597.58","3,399.80",-5.00%
2020-01-11,11,November,2020,"3,594.25","3,870.35","3,882.79","3,580.39",-7.10%
2020-01-10,10,October,2020,"3,868.85","3,827.00","3,905.45","3,754.50",1.14%
2020-01-09,9,September,2020,"3,825.25","3,740.45","3,908.32","3,620.71",2.29%
2020-01-08,8,August,2020,"3,739.71","3,733.33","3,888.00","3,727.19",0.22%
2020-01-07,7,July,2020,"3,731.33","3,758.00","3,760.13","3,599.61",-0.45%
2020-01-06,6,June,2020,"3,748.32","3,730.00","3,790.00","3,542.06",0.60%
2020-01-05,5,May,2020,"3,726.00","3,954.50","4,010.64","3,691.24",-5.73%
2020-01-04,4,April,2020,"3,952.58","4,059.00","4,123.18","3,825.91",-2.62%
2020-01-03,3,March,2020,"4,059.00","3,527.00","4,220.38","3,414.94",15.21%
2020-01-02,2,February,2020,"3,523.00","3,420.00","3,550.01","3,339.00",3.10%
2020-01-01,1,January,2020,"3,417.00","3,287.23","3,429.45","3,238.60",4.01%
2019-01-12,12,December,2019,"3,285.23","3,518.00","3,528.75","3,264.68",-6.55%
2019-01-11,11,November,2019,"3,515.50","3,380.00","3,549.20","3,295.06",4.10%
2019-01-10,10,October,2019,"3,377.00","3,480.00","3,504.00","3,369.50",-2.87%
2019-01-09,9,September,2019,"3,476.75","3,442.65","3,491.00","3,346.25",1.08%
2019-01-08,8,August,2019,"3,439.65","3,280.93","3,495.54","3,279.93",4.92%
2019-01-07,7,July,2019,"3,278.43","3,212.75","3,304.85","3,163.68",2.10%
2019-01-06,6,June,2019,"3,211.00","3,380.00","3,382.35","3,169.64",-4.86%
2019-01-05,5,May,2019,"3,375.00","3,233.25","3,394.83","3,225.75",4.45%
2019-01-04,4,April,2019,"3,231.25","3,188.03","3,253.51","3,092.69",1.42%
2019-01-03,3,March,2019,"3,186.03","3,081.50","3,207.00","3,072.00",3.43%
2019-01-02,2,February,2019,"3,080.25","3,105.00","3,164.45","3,065.65",-0.74%
2019-01-01,1,January,2019,"3,103.25","3,247.50","3,264.99","3,102.49",-4.37%
2018-01-12,12,December,2018,"3,245.00","3,234.00","3,303.50","3,138.55",0.39%
2018-01-11,11,November,2018,"3,232.50","3,219.50","3,296.03","3,126.83",0.54%
2018-01-10,10,October,2018,"3,215.13","2,962.80","3,229.04","2,961.55",8.63%
2018-01-09,9,September,2018,"2,959.80","3,051.50","3,113.23","2,959.16",-2.84%
2018-01-08,8,August,2018,"3,046.25","2,890.50","3,082.40","2,883.48",5.48%
2018-01-07,7,July,2018,"2,888.10","2,931.05","2,942.48","2,851.18",-1.40%
2018-01-06,6,June,2018,"2,929.25","2,893.50","2,961.23","2,820.18",1.37%
2018-01-05,5,May,2018,"2,889.70","2,800.71","2,944.06","2,798.20",3.06%
2018-01-04,4,April,2018,"2,804.00","2,793.05","2,832.92","2,684.60",0.50%
2018-01-03,3,March,2018,"2,790.00","2,866.75","2,905.00","2,767.52",-2.63%
2018-01-02,2,February,2018,"2,865.50","2,830.20","2,946.00","2,792.48",1.28%
2018-01-01,1,January,2018,"2,829.40","2,979.13","2,986.33","2,758.09",-5.12%
2017-01-12,12,December,2017,"2,982.00","3,015.45","3,037.30","2,953.25",-1.00%
