Etiquetas de fila;Promedio de Price
1/01/2019;3103.25
2/01/2019;3080.25
3/01/2019;3186.03
4/01/2019;3231.25
5/01/2019;3375
6/01/2019;3211
7/01/2019;3278.43
8/01/2019;3439.65
9/01/2019;3476.75
10/01/2019;3377
11/01/2019;3515.5
12/01/2019;3285.23
1/01/2020;3417
2/01/2020;3523
3/01/2020;4059
4/01/2020;3952.58
5/01/2020;3726
6/01/2020;3748.32
7/01/2020;3731.33
8/01/2020;3739.71
9/01/2020;3825.25
10/01/2020;3868.85
11/01/2020;3594.25
12/01/2020;3414.5
1/01/2021;3567.63
2/01/2021;3644.5
3/01/2021;3658.95
4/01/2021;3751.43
5/01/2021;3705.75
6/01/2021;3747
7/01/2021;3874
8/01/2021;3766.68
9/01/2021;3805.33
10/01/2021;3757.53
11/01/2021;3992.2
12/01/2021;4065.41
1/01/2022;3941.41
2/01/2022;3933.01
3/01/2022;3767.82
4/01/2022;3950.95
5/01/2022;3760.6
6/01/2022;4141.97
7/01/2022;4277.6
8/01/2022;4423
9/01/2022;4604.13
10/01/2022;4929.35
11/01/2022;4827
12/01/2022;4847
1/01/2023;4667.72
2/01/2023;4856.68
3/01/2023;4651.5
4/01/2023;4695.5
5/01/2023;4448.5
6/01/2023;4172.5
7/01/2023;3919.5
8/01/2023;4087.55
9/01/2023;4075
10/01/2023;4115.5
11/01/2023;4025
Total general;3874.819153
