FY,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Drug Type,Count of Event,Sum Qty (lbs)
2019,APR,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Ecstasy,3,8.3799469484296
2019,APR,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Khat (Catha Edulis),4,1394.42380715
2019,APR,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Marijuana,5,0.089397447241
2019,APR,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Other Drugs**,8,42.663195555454
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Cocaine,3,8.5429126525
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Ecstasy,7,0.8514252558440001
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Fentanyl,1,2.6235009178
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Heroin,2,1.2676580065
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Khat (Catha Edulis),4,112.009600067554
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Lsd,2,0.051147244784
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Marijuana,33,26.737398580645596
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Methamphetamine,5,3.209269147934
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Other Drugs**,19,10.534612819860405
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Cocaine,13,2.6636250494840006
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Ecstasy,153,16.115570889938
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Fentanyl,6,1.447996136816
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Heroin,16,23.9843319914682
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Ketamine,33,0.94909003791
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Lsd,18,0.0919327632539999
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Marijuana,112,758.6427208011206
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Methamphetamine,14,75.41573058495999
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Other Drugs**,466,366.8557737434075
2019,APR,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Cocaine,1,0.34392112872
2019,APR,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Khat (Catha Edulis),3,2525.39521121
2019,APR,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Marijuana,29,8.7366107958932
2019,APR,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Other Drugs**,40,11.514523481998
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Cocaine,24,90.7907025981614
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Ecstasy,20,2.787083916204
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Fentanyl,3,0.5097087497439999
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Heroin,1,0.000440924524
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Ketamine,1,0.00110231131
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Lsd,1,0.00881849048
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Marijuana,199,1585.467761278529
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Methamphetamine,16,22.2766533562424
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Other Drugs**,47,542.8328518698814
2019,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Cocaine,15,11.4340327101418
2019,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Ecstasy,15,4.65065141689
2019,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Fentanyl,7,0.01984160358
2019,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Heroin,1,5.3282862715994
2019,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Ketamine,5,1.40544692025
2019,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Khat (Catha Edulis),3,2151.71167712
2019,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Lsd,41,0.23920155427
2019,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Marijuana,38,66.12143845111157
2019,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Methamphetamine,3,0.03086471668
2019,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Other Drugs**,105,157.67306654656596
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Cocaine,5,10.671916716634
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Ecstasy,3,1.00751253734
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Fentanyl,1,31.195410073
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Heroin,1,6.283174467
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Ketamine,1,1.075194451774
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Lsd,1,21.384839414
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Marijuana,22,282.6749706845302
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Methamphetamine,7,114.687996088592
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Other Drugs**,137,387.6944399495285
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Cocaine,6,24.315003338242
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Ecstasy,52,127.50434922769996
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Fentanyl,1,0.19621141318
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Heroin,5,6.435954814566001
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Ketamine,16,94.788410933686
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Khat (Catha Edulis),2,1190.4962148
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Lsd,26,0.0881849047999999
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Marijuana,44,55.92640365340979
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Methamphetamine,5,1.79235819006
2019,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Other Drugs**,728,582.3084056253032
2019,APR,Office of Field Operations,Coastal/Interior,Other,PRECLEARANCE FIELD OFFICE,Cocaine,1,12.0372395052
2019,APR,Office of Field Operations,Coastal/Interior,Other,PRECLEARANCE FIELD OFFICE,Marijuana,9,0.224651044978
2019,APR,Office of Field Operations,Coastal/Interior,Other,PRECLEARANCE FIELD OFFICE,Other Drugs**,2,0.05732018812
2019,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Cocaine,5,1.488561193024
2019,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Ecstasy,25,3.9552252576372
